condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
fab,20,1000,reliable,0.199,0.1791,0.22085,273.17682925534064,270.17260603189453,275.9495704282455,0.04396522107379364,0.04265696394228363,0.04542910730644982
fab-route,20,1000,reliable,0.19825,0.18055,0.21655,268.96170835507223,265.93613226609045,271.87482144689545,0.033158725362956304,0.03103827885983971,0.03543966437662989
myopic,20,1000,reliable,0.1894,0.16925,0.21035249999999997,274.59406675838756,271.6200093635922,277.37502496834816,0.04493790295595722,0.043678279918555385,0.04634342827568358
