condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
ablation-independent,20,1000,reliable,0.190325,0.16759812500000001,0.214825,273.89389390345684,270.6541802952349,276.7407555979629,0.03388436586747416,0.03263266653272378,0.035032260145955625
ablation-myopic,20,1000,precision-not-met,0.5608,0.51362125,0.607800625,219.7800987682491,213.58357350728423,226.24751016058187,0.10947241309098713,0.10395073269163634,0.11452906680076398
ablation-terrain-off,20,1000,precision-not-met,0.3053,0.250649375,0.35447687499999997,258.140354791,250.69751842944677,266.09582265890594,0.11894262822444404,0.11635144441360813,0.12147821644264356
baseline-sarops-adapted,20,1000,reliable,0.56835,0.54782375,0.587800625,226.09274832743333,216.91181870737344,236.41237017353302,0.2630460050876087,0.2620538682998077,0.2639303443169766
baseline-sarops-core,20,1000,precision-not-met,0.28015,0.231571875,0.32067749999999995,277.4021433476912,272.535480136896,282.42529489509246,0.2149563165199492,0.2149563165199492,0.2149563165199492
proposed-fab-terrain-gcs,20,1000,precision-not-met,0.54475,0.500098125,0.5859049999999999,224.04689842547816,218.54892423921513,229.9639612059364,0.10976785825113713,0.10336932456397631,0.11561507729570052
