condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
ablation-independent,0.03388436586747416,0.190325,162.8340675342537,273.89389390345684,0.809675,0.8333333333333334,10796.78742113517,10796.78742113517,64780.72452681102
ablation-myopic,0.10947241309098713,0.5608,156.9545270475198,219.7800987682491,0.43920000000000003,0.4572846021729279,10756.233147395189,11004.370651276107,64537.398884371134
ablation-terrain-off,0.11894262822444404,0.3053,162.8901237831641,258.140354791,0.6947,0.445360218042714,10869.905902321063,11119.33182174502,65219.43541392639
baseline-sarops-adapted,0.2630460050876087,0.56835,169.9617283846808,226.09274832743333,0.43165,0.003515651548714932,9595.890354868117,9792.903669950945,57575.34212920871
baseline-sarops-core,0.2149563165199492,0.28015,219.33658164444455,277.4021433476912,0.71985,0.0,10165.652240257807,10549.850707565623,60993.91344154684
proposed-fab-terrain-gcs,0.10976785825113713,0.54475,160.57255332809208,224.04689842547816,0.45525000000000004,0.4617611876977275,10786.60869671101,11033.900551122028,64719.65218026606
