condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
central-gcs,20,1000,reliable,0.60775,0.58735,0.62880125,190.51121587318676,186.31234431657782,194.8016871312226,0.14653452554794272,0.14263382802999627,0.150221597807519
asoc,20,1000,reliable,0.59215,0.56915,0.6156,193.2215332230072,188.3844221328314,198.20453370684356,0.14191428660766575,0.13602457622593,0.14798394313760174
mappo,20,1000,precision-not-met,0.3268,0.28105,0.37045125,242.39805325231137,235.0294600864066,250.15208496157888,0.1595830529971671,0.14825094431425564,0.17036535324618562
hybrid,20,1000,precision-not-met,0.3268,0.27909875,0.37075,242.39805325231137,234.91454140883593,249.8154325732868,0.1595830529971671,0.14767195542389777,0.17006892844259625
