condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
central-gcs,0.14653452554794272,0.60775,119.84568634008517,190.51121587318676,0.39225,0.1303932679267053,10715.753913752667,10913.453033495713,64294.523482516015
asoc,0.14191428660766575,0.59215,119.67665831800593,193.2215332230072,0.40785000000000005,0.11199522110566629,10664.11744308588,10868.837709984105,63984.70465851527
mappo,0.1595830529971671,0.3268,123.73945303644845,242.39805325231137,0.6732,0.01599759712960751,10730.592666075143,10910.566309460155,64383.55599645085
hybrid,0.1595830529971671,0.3268,123.73945303644845,242.39805325231137,0.6732,0.01599759712960751,10730.592666075143,10910.566309460155,64383.55599645085
