condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
central-gcs,sample,100,,0.32,0.29,0.35,110.14989399362527,108.76486416797815,111.53492381927241,insufficient-design
central-gcs,seed,,2,0.32,0.29,0.35,110.14989399362527,108.76486416797815,111.53492381927241,insufficient-design
asoc,sample,100,,0.175,0.15,0.2,114.26049538168641,114.05289071011603,114.4681000532568,insufficient-design
asoc,seed,,2,0.175,0.15,0.2,114.26049538168641,114.05289071011603,114.4681000532568,insufficient-design
mappo,sample,100,,0.165,0.09,0.24,112.13302950126676,108.39582474563113,115.87023425690239,insufficient-design
mappo,seed,,2,0.165,0.09,0.24,112.13302950126676,108.39582474563113,115.87023425690239,insufficient-design
hybrid,sample,100,,0.165,0.09,0.24,112.13302950126676,108.39582474563113,115.87023425690239,insufficient-design
hybrid,seed,,2,0.165,0.09,0.24,112.13302950126676,108.39582474563113,115.87023425690239,insufficient-design
