condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
central-gcs,2,100,insufficient-design,0.32,0.29,0.35,110.14989399362527,108.76486416797815,111.53492381927241,0.07975991433741324,0.07956537796098052,0.07995445071384595
asoc,2,100,insufficient-design,0.175,0.15,0.2,114.26049538168641,114.05289071011603,114.4681000532568,0.07980854843152141,0.07616099137340801,0.08345610548963482
mappo,2,100,insufficient-design,0.165,0.09,0.24,112.13302950126676,108.39582474563113,115.87023425690239,0.08340747139552665,0.08326156911320211,0.08355337367785118
hybrid,2,100,insufficient-design,0.165,0.09,0.24,112.13302950126676,108.39582474563113,115.87023425690239,0.08340747139552665,0.08326156911320211,0.08355337367785118
