condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
central-gcs,0.07975991433741324,0.32,89.21841873007895,110.14989399362527,0.6799999999999999,0.021077283372365363,4768.455617628908,4919.420522450235,28610.733705773448
asoc,0.07980854843152141,0.175,87.20283075249384,114.26049538168641,0.825,0.0,4752.93720847355,4845.687989212553,28517.6232508413
mappo,0.08340747139552665,0.165,72.32139091676817,112.13302950126676,0.835,0.0,4797.315225776369,4946.956893179698,28783.89135465821
hybrid,0.08340747139552665,0.165,72.32139091676817,112.13302950126676,0.835,0.0,4797.315225776369,4946.956893179698,28783.89135465821
