condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
coastal-taean,0.1395778756600562,0.16666666666666666,145.57655869486976,274.2627597824783,0.8333333333333334,0.4261023296365438,10954.373194577121,11112.735953290015,65726.23916746271
mixed-urban-suwon,0.134068222673475,0.3333333333333333,149.04147377233437,249.68049125744483,0.6666666666666667,0.3824431095056926,10894.501575992876,11159.966779649523,65367.009455957246
mountain-taebaek,0.11502398735029229,0.16666666666666666,166.48549203080702,277.7475820051345,0.8333333333333334,0.457446577727517,10716.354851107972,10964.823895355396,64298.12910664783
plain-honam,0.14073570128767104,0.4166666666666667,139.98463233638157,233.326930140159,0.5833333333333333,0.38373570010706576,10939.67967741823,11062.584538501655,65638.07806450936
