site,label,terrain_type,center_lat,center_lon,elevation_min_m,elevation_max_m,impassable_fraction,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit
coastal-taean,Coastal,coastal,36.72,126.3,-6.996715545654297,281.4319763183594,0.2041405215141697,0.1395778756600562,0.16666666666666666,145.57655869486976,274.2627597824783,0.8333333333333334
mixed-urban-suwon,Mixed urban,mixed-urban,37.2,127.05,6.280097961425781,212.62493896484375,0.031710001803471374,0.134068222673475,0.3333333333333333,149.04147377233437,249.68049125744483,0.6666666666666667
mountain-taebaek,Mountain,mountain,37.75,128.6,419.78363037109375,1560.6788330078125,0.45704317759217916,0.11502398735029229,0.16666666666666666,166.48549203080702,277.7475820051345,0.8333333333333334
plain-honam,Plain,plain,35.85,126.95,1.5,66.97216033935547,0.011815846916374897,0.14073570128767104,0.4166666666666667,139.98463233638157,233.326930140159,0.5833333333333333
