condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
ablation-terrain-off,40,1000,reliable,0.370425,0.34112437500000004,0.3993003125,245.5859810282143,239.04139669385745,252.07188086785345,0.1650480432165015,0.16123914624558788,0.16876321619911075
ablation-independent,40,1000,reliable,0.270075,0.25144937500000003,0.28897531249999997,256.55343149044955,253.91077383905215,259.0525257739611,0.032642697694411305,0.031379020853168356,0.03388641202483331
ablation-effort-greedy,40,1000,reliable,0.6156375,0.588510625,0.6409521874999999,208.43433201615915,204.34952564943583,212.55671850001613,0.13628605762568213,0.13221365551193204,0.1403065073050207
proposed-terrain-gcs-team-h1,40,1000,reliable,0.6001,0.5707371875,0.6276625,202.25383552172198,197.30120368819072,207.35347090943836,0.11039268483983275,0.10619856131635194,0.11478842972260513
candidate-terrain-gcs-team-h2,40,1000,reliable,0.5939,0.5691246875,0.6185381249999999,206.0529006081526,201.63862435975634,210.44373618748406,0.11362860784390816,0.10922677439533539,0.11803034147992679
candidate-overlap-aware-team-h1,40,1000,reliable,0.629325,0.611374375,0.6473753125,202.784710070159,199.78924692624233,205.58097517522867,0.14197337695856974,0.13872537663544765,0.1450017397563843
baseline-sarops-core,40,1000,precision-not-met,0.2928125,0.25677218749999997,0.328125625,254.36803860886832,248.90542456902003,260.13049477878,0.11426541193909631,0.11426541193909631,0.11426541193909631
baseline-sarops-adapted,40,1000,precision-not-met,0.296925,0.26048499999999997,0.33288875,253.26855336575872,247.6573513249512,259.2219361458933,0.11454289083950746,0.11358069781793786,0.11532162838663258
