condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
ablation-terrain-off,0.1650480432165015,0.370425,153.10381596332385,245.5859810282143,0.629575,0.2882867135644946,10990.501737009543,11188.007373954544,65943.01042205727
ablation-independent,0.032642697694411305,0.270075,139.1314690010167,256.55343149044955,0.7299249999999999,0.8333333333333334,10837.923208035058,10837.923208035058,65027.53924821034
ablation-effort-greedy,0.13628605762568213,0.6156375,151.2669095306234,208.43433201615915,0.38436250000000005,0.3632369045255975,10708.637526080747,10946.309919848445,64251.82515648448
proposed-terrain-gcs-team-h1,0.11039268483983275,0.6001,137.11687305736038,202.25383552172198,0.39990000000000003,0.49154776732148486,10903.737850708938,11130.681939344156,65422.427104253635
candidate-terrain-gcs-team-h2,0.11362860784390816,0.5939,141.8132692509726,206.0529006081526,0.4061,0.48603617289656975,10924.242471810463,11150.407196500546,65545.45483086277
candidate-overlap-aware-team-h1,0.14197337695856974,0.629325,145.52450652708697,202.784710070159,0.370675,0.3256810781932441,10800.012600012113,11041.932493655604,64800.07560007268
baseline-sarops-core,0.11426541193909631,0.2928125,144.15979033978513,254.36803860886832,0.7071875000000001,0.4289704708699123,8694.303914156515,9004.189340206882,52165.82348493908
baseline-sarops-adapted,0.11454289083950746,0.296925,142.61531823106415,253.26855336575872,0.703075,0.4283120342062672,8734.673613244664,9051.758094298519,52408.04167946797
