condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
myopic,20,1000,reliable,0.19125,0.1715,0.21120124999999998,273.7933198456661,271.5612126543714,275.93390704049244,0.039894547396939074,0.03821642797973636,0.04134882839600889
beam,20,1000,reliable,0.22365,0.2044475,0.24325124999999997,266.2530575403134,262.9376722607374,269.2517072654106,0.03864465117835888,0.03654840013706111,0.04088181950733511
fab,20,1000,reliable,0.1953,0.1783,0.21305124999999997,274.38581982180295,272.36160591586184,276.3884617173275,0.041373023857827707,0.03976797716702255,0.04305090010455988
fab-route,20,1000,reliable,0.2032,0.18585,0.22090125,268.12048317443504,264.2421434745733,271.54648220823634,0.03387364654634654,0.031451668659759235,0.036159448969430935
