condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
independent,80,1000,reliable,0.276975,0.264724375,0.28950093749999994,256.3942036903282,254.42904592897517,258.28741533649986,0.039448329583496526,0.038226367572719716,0.04071047551453023
shared,80,1000,reliable,0.60375,0.5838237500000001,0.6237896875,201.47181601077554,197.6903124300021,205.22990771728485,0.12115360768523693,0.1174147097191266,0.12491083462556427
shared-past,80,1000,reliable,0.288875,0.2769625,0.30136281249999997,255.7902327432407,253.80202193127747,257.6863184119338,0.04243081540468059,0.04142041170327437,0.04344608251549764
shared-reserved,80,1000,reliable,0.614075,0.5955371875000001,0.6328756249999999,198.8282238126643,195.1963006285641,202.33843290003918,0.12781161516864661,0.12403733589907256,0.13158443541539738
