condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
independent,0.039448329583496526,0.276975,142.56414366035975,256.3942036903282,0.723025,0.8333333333333333,10820.821209951859,10820.821209951859,64924.927259711156
shared,0.12115360768523693,0.60375,136.80632051474208,201.47181601077554,0.39625,0.5283988380549587,10918.012482967644,11155.876481213108,65508.074897805855
shared-past,0.04243081540468059,0.288875,146.95883251662735,255.7902327432407,0.711125,0.8333333333333333,10870.619751292634,10870.619751292634,65223.7185077558
shared-reserved,0.12781161516864661,0.614075,135.24524498255803,198.8282238126643,0.38592499999999996,0.5057331231018642,10890.453612632773,11127.964468586402,65342.721675796645
