method,probability_of_detection,expected_detections,runtime_s,mean_relative_gap
effort-greedy,0.5783987525238058,0.9021940675880598,7.191459881141781e-05,0.1731567965431631
effort-map-literal,0.6194578934518951,0.9245816707132378,5.493549979291856e-05,0.11416546035675097
h1,0.6791657184997636,0.8798847515917971,0.00030246659298427403,0.027090851782615093
h2,0.6890441477266526,0.8851549800953826,0.0018431104952469468,0.013809013647770062
exact,0.6981572371078831,0.8906445570698085,0.012913620841572993,
h1-dell,0.5992091033323699,1.567083333333335,0.0002140770899131894,0.14388996567132842
h2-dell,0.6686433410136139,1.3340000000000007,0.0016134625504491851,0.0413499810508472
