condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
myopic,2,100,insufficient-design,0.0,0.0,0.0,120.0,120.0,120.0,0.012547596279910131,0.012353059903477417,0.012742132656342844
beam,2,100,insufficient-design,0.0,0.0,0.0,120.0,120.0,120.0,0.009435014256986687,0.009435014256986687,0.009435014256986687
fab,2,100,insufficient-design,0.0,0.0,0.0,120.0,120.0,120.0,0.012547596279910131,0.012353059903477417,0.012742132656342844
fab-route,2,100,insufficient-design,0.0,0.0,0.0,120.0,120.0,120.0,0.009435014256986687,0.009435014256986687,0.009435014256986687
