condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
ablation-independent,2,100,insufficient-design,0.0025,0.0,0.005,119.80530769815817,119.61061539631638,120.0,0.010360543116071104,0.0095820051940542,0.011139081038088007
ablation-myopic,2,100,insufficient-design,0.005,0.0,0.01,119.79883519785194,119.59767039570391,120.0,0.016928209176162418,0.01676850908959485,0.01708790926272999
ablation-terrain-off,2,100,insufficient-design,0.0025,0.0,0.005,119.87867677319664,119.75735354639329,120.0,0.017247609349297557,0.017247609349297557,0.017247609349297557
baseline-sarops-adapted,2,100,insufficient-design,0.0325,0.015,0.05,119.37756574917648,119.04952458408218,119.70560691427079,0.07140590120652474,0.06571658562255504,0.07709521679049443
baseline-sarops-core,2,100,insufficient-design,0.0,0.0,0.0,120.0,120.0,120.0,0.03393626839560862,0.03393626839560862,0.03393626839560862
proposed-fab-terrain-gcs,2,100,insufficient-design,0.005,0.0,0.01,119.79883519785194,119.59767039570391,120.0,0.01690824666534147,0.016728584067952957,0.01708790926272999
