condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
ablation-independent,0.010360543116071104,0.0025,42.123079263276885,119.80530769815817,0.9975,0.8333333333333334,4184.746427979502,4184.746427979502,25108.478567877013
ablation-myopic,0.016928209176162418,0.005,79.76703957039179,119.79883519785194,0.995,0.7666587206802085,4138.555988688245,4282.558483025616,24831.33593212947
ablation-terrain-off,0.017247609349297557,0.0025,71.47070927865845,119.87867677319664,0.9975,0.7944814462416746,4081.099242116362,4265.694257074171,24486.595452698173
baseline-sarops-adapted,0.07140590120652474,0.0325,100.84817689773806,119.37756574917648,0.9675,0.0,4609.973616591094,4838.910136767225,27659.84169954656
baseline-sarops-core,0.03393626839560862,0.0,,120.0,1.0,0.0,5132.997393679852,5333.333333333333,30797.984362079114
proposed-fab-terrain-gcs,0.01690824666534147,0.005,79.76703957039179,119.79883519785194,0.995,0.766439065879047,4143.31530859918,4282.558483025616,24859.891851595086
