condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
Adapted,0.029156139417853194,0.06185,101.9362435356592,287.72238179187013,0.9381499999999999,,,,
Terrain-Full,0.02897619326965293,0.18885000000000002,103.0744752730355,262.9313977339622,0.8111499999999999,,,,
Terrain-Observability,0.029058871229636834,0.058499999999999996,101.67663012724023,288.13705950643475,0.9414999999999999,,,,
Terrain-Prior,0.027843018876932364,0.1927,104.97134533981541,262.4805879449769,0.8073,,,,
Terrain-Transition,0.028937285994366384,0.12795,98.83764212389517,274.7239469284175,0.87205,,,,
