condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
ablation-terrain-off,0.18928253135313025,0.3954,144.69874831320072,238.59388508303957,0.6046,0.14386821424748147,10922.919059689015,11128.76681880259,65537.51435813408
ablation-independent,0.0342436910622512,0.274275,148.1549888027722,258.35270955388035,0.725725,0.8333333333333334,10838.19312760066,10838.19312760066,65029.15876560395
ablation-effort-greedy,0.17092500640218805,0.6197625,154.16519965206953,209.61705954936576,0.3802375,0.19003330652483852,10739.805135208419,10954.471961950687,64438.83081125051
proposed-terrain-gcs-team-h1-overlap-aware,0.1412726928287545,0.627075,144.01932879156456,202.18842060197034,0.37292499999999995,0.3327609154991804,10806.27149005903,11042.731678268141,64837.628940354196
candidate-terrain-gcs-team-h2,0.1432429926467819,0.6136125,149.87303665711772,207.88021870576566,0.3863875,0.3466913925333288,10836.452562389226,11074.371378523068,65018.715374335356
ablation-spatial-reservation-off,0.10745220699590737,0.5971125,134.5179362161956,201.18859118889307,0.40288749999999995,0.49453974419592583,10902.293708776244,11135.387732723964,65413.76225265746
baseline-sarops-core,0.11426541193909631,0.29575,138.35696061718528,252.19407110253255,0.70425,0.4289704708699123,8694.303914156515,9004.189340206882,52165.82348493908
baseline-sarops-adapted,0.11471856093473183,0.3045,137.44874824107475,250.50314383940724,0.6955,0.42783648366637417,8736.520151950186,9057.727856297468,52419.1209117011
