condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
ablation-terrain-off,40,1000,reliable,0.3954,0.37287437500000004,0.41700031249999997,238.59388508303957,234.40905145193955,243.2501919466284,0.18928253135313025,0.18629404367068048,0.1922589417165333
ablation-independent,40,1000,reliable,0.274275,0.25177468750000004,0.297825,258.35270955388035,254.8209042355777,261.6410243800002,0.0342436910622512,0.03286428156452381,0.035621104308896485
ablation-effort-greedy,40,1000,reliable,0.6197625,0.6016496875,0.6374125,209.61705954936576,206.46575926886317,212.5973492392811,0.17092500640218805,0.16694832452782438,0.1748779328886748
proposed-terrain-gcs-team-h1-overlap-aware,40,1000,reliable,0.627075,0.6055996875,0.647315625,202.18842060197034,198.6880104793387,205.7112903581216,0.1412726928287545,0.13794693852598489,0.14471223344320355
candidate-terrain-gcs-team-h2,40,1000,reliable,0.6136125,0.5946862500000001,0.6328253125,207.88021870576566,204.19259744711218,211.47875250998416,0.1432429926467819,0.1396250869981477,0.14690641282008784
ablation-spatial-reservation-off,40,1000,reliable,0.5971125,0.5676496875,0.6264768749999999,201.18859118889307,195.12805449662534,207.12752840755368,0.10745220699590737,0.10341768374644003,0.11197581176048789
baseline-sarops-core,40,1000,precision-not-met,0.29575,0.25789031250000005,0.3302503125,252.19407110253255,246.33508369167308,258.3717782637533,0.11426541193909631,0.11426541193909631,0.11426541193909631
baseline-sarops-adapted,40,1000,precision-not-met,0.3045,0.26597437500000004,0.3397634375,250.50314383940724,244.55629131355613,256.71047967427114,0.11471856093473183,0.1141655993849916,0.1152355899649943
