episode,training_mean_reward,validation_mean_reward
1,0.3839754057754198,
2,0.5285314542147714,
3,0.21271433075900653,
4,-0.012622529000561258,
5,-0.3306656204321825,
6,-0.01108111034750351,
7,0.26855902628834033,
8,0.3374204316269064,
9,0.4448612338183624,
10,0.4292247135724026,
11,0.46474586595834877,
12,0.39016353175409274,
13,0.35916956541771333,
14,0.30642693363898765,
15,0.012601621894906174,
16,0.0033761570808034805,
17,0.15888684631900515,
18,0.1402512704651505,
19,0.4330267671270929,
20,0.3847788688388085,
21,0.290037322606703,
22,0.4786722770669619,
23,0.34297014757380334,
24,0.014449228191021846,
25,-0.13996786397687916,
26,0.7349221743754499,
27,0.178425475209105,
28,-0.1644128688804212,
29,0.3526561668424716,
30,0.09396796546046889,
31,0.3220351749646459,
32,0.4833200823303841,
33,0.6075442047109028,
34,0.8099628260329641,
35,-0.0763143955619351,
36,0.7303859113304564,
37,0.6058836585260298,
38,0.6232106414349787,
39,0.30824632204811364,
40,-0.36496539283714635,
41,0.286324652114259,
42,0.5360607819959354,
43,0.08188093920186366,
44,0.09245583045874144,
45,-0.023931958571235167,
46,0.7241240416640687,
47,0.3339515994663458,
48,0.479439113650658,
49,0.40533658106692544,
50,0.05807228171310962,
51,0.31074772392297934,
52,-0.5326723547372207,
53,0.19437235277602297,
54,0.04453885925513759,
55,-0.12063045023585744,
56,0.28881320597872645,
57,-0.011366925183337316,
58,0.3088622354003803,
59,0.17261504434495803,
60,-0.17812745208970193,
61,-0.2748976035339108,
62,0.6390736937102537,
63,0.19992258886731526,
64,0.49417021208110146,
65,0.3925944126902592,
66,0.09546518747929328,
67,0.09002335500534867,
68,-0.04440458690047262,
69,0.11525193302669988,
70,-0.04654180696145008,
71,0.12335735652989245,
72,0.037708467899320364,
73,-0.18431171919847042,
74,0.35069441990080186,
75,-0.21341821218648074,
76,0.3084300084485281,
77,0.39495949724445234,
78,0.17783534892705805,
79,0.4748270011328286,
80,0.5250586872277664,
81,0.5033200031928357,
82,0.273809063640362,
83,0.03336872016290258,
84,0.08385714945363011,
85,0.31785868229798414,
86,0.3950770911679264,
87,0.074888273305506,
88,0.2903892929361054,
89,0.48527239351935314,
90,0.8896939698910087,
91,0.03518371362958615,
92,-0.200092877148242,
93,-0.2664413205334807,
94,0.5014322116740094,
95,-0.7889778897084473,
96,0.29008607910244993,
97,0.0016494514870493476,
98,-0.08195574184508318,
99,0.38951829173668273,
100,0.5224397017657691,
101,-0.8023264477860215,
102,0.16457636841080187,
103,0.4205862338973407,
104,0.26858501455741146,
105,0.13788149880699402,
106,0.19444243348909632,
107,0.565622770367093,
108,0.5360756598033722,
109,0.6454569559125575,
110,0.4864902743372333,
111,0.7613627791245281,
112,0.37607873294620014,
113,0.45630940588855673,
114,0.14857064668521577,
115,0.1591839754204446,
116,0.09722902790375167,
117,0.5618613773709145,
118,0.5569610872929129,
119,-0.011663431736701028,
120,0.40276185804200143,
121,0.699299720970662,
122,0.59824323556511,
123,0.4525026511896587,
124,0.42241353664598214,
125,0.7342538206229,
126,0.7765630704425328,
127,0.4614265877315931,
128,0.6986093836503946,
129,-0.04057865803213034,
130,0.6189978502166125,
131,0.511602594457009,
132,0.37864201617465243,
133,0.5567341941994319,
134,0.3449184984999996,
135,0.07163259100182037,
136,0.37619444280100023,
137,-0.0177492178020965,
138,0.6029959543617506,
139,0.5763376281936463,
140,0.3987551180739975,
141,0.673870673047518,
142,0.32637267218015065,
143,0.29789725775146664,
144,0.5111269874374439,
145,0.07540791984333874,
146,0.6263032189262954,
147,-0.15589631578980423,
148,0.25497680537665857,
