condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
ablation-terrain-off,5,200,insufficient-design,0.4345,0.3945,0.475,226.5136986849738,211.81237309382658,241.21502427612106,0.1680044910690836,0.16314960843742948,0.17507920490402698
ablation-independent,5,200,insufficient-design,0.2485,0.2085,0.281,261.15664715551543,254.12348864128984,268.189805669741,0.032642697694411305,0.029334111150947688,0.03607624955561406
ablation-effort-greedy,5,200,insufficient-design,0.613,0.5575,0.654,209.37266510502457,205.14084633731784,214.09139269631328,0.1410151764391643,0.12752051912420465,0.1527371627932239
proposed-terrain-gcs-team-h1,5,200,insufficient-design,0.577,0.5145,0.6395,204.8442474858765,192.29361729247083,216.95403936372068,0.10544996716056647,0.09922166378443123,0.11357870156685576
candidate-terrain-gcs-team-h2,5,200,insufficient-design,0.591,0.5425,0.636,205.44504469875304,198.73189270299346,213.4692118804948,0.11488824227670984,0.1136106415841693,0.11643733311641527
candidate-overlap-aware-team-h1,5,200,insufficient-design,0.618,0.5825,0.6535,202.64683903994828,192.10929142793015,213.18438665196643,0.1474830299451509,0.13068258083824252,0.16428347905205926
baseline-sarops-core,5,200,insufficient-design,0.3225,0.2605,0.3835,248.23195516007905,239.03270225415855,258.809465556194,0.11426541193909631,0.11426541193909631,0.11426541193909631
baseline-sarops-adapted,5,200,insufficient-design,0.2905,0.194,0.387,251.35237648638105,236.22860063696535,266.70680736721914,0.11204558073580713,0.105545787212507,0.1185453742591072
