condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
ablation-terrain-off,0.1680044910690836,0.4345,130.87157349821365,226.5136986849738,0.5655,0.2908266674038221,11019.241973770237,11204.133569619566,66115.45184262143
ablation-independent,0.032642697694411305,0.2485,143.6887209477482,261.15664715551543,0.7515000000000001,0.8333333333333334,10855.18261833156,10855.18261833156,65131.09570998936
ablation-effort-greedy,0.1410151764391643,0.613,152.15769185158982,209.37266510502457,0.387,0.3336452404631918,10683.777627348789,10898.279123781898,64102.66576409274
proposed-terrain-gcs-team-h1,0.10544996716056647,0.577,135.08535092872881,204.8442474858765,0.42300000000000004,0.4953076962445543,10908.815114523535,11164.593084069189,65452.8906871412
candidate-terrain-gcs-team-h2,0.11488824227670984,0.591,140.0085358692945,205.44504469875304,0.40900000000000003,0.46848145407910896,10894.157293145729,11102.164110523536,65364.94375887436
candidate-overlap-aware-team-h1,0.1474830299451509,0.618,142.47061333324964,202.64683903994828,0.382,0.3175277048132312,10850.91625662833,11078.839731955843,65105.497539769975
baseline-sarops-core,0.11426541193909631,0.3225,139.47893072892722,248.23195516007905,0.6775,0.4289704708699123,8694.303914156515,9004.189340206882,52165.82348493909
baseline-sarops-adapted,0.11204558073580713,0.2905,132.53830115793815,251.35237648638105,0.7095,0.4313822310960712,8605.095902064444,8974.511015512313,51630.575412386665
