condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
mountain-taebaek,0.13494657314959663,0.375,168.6577977189154,250.74667414459327,0.625,0.3825356229448301,10985.721599350574,11153.933139081078,65914.32959610345
plain-honam,0.14436887825708328,0.375,147.52379900133127,242.8214246254992,0.625,0.38293515358361774,10936.737854544232,11161.12791194666,65620.42712726539
coastal-taean,0.1387793752272183,0.325,128.43971203039843,244.24290640987948,0.675,0.3814946619217082,10759.640330079133,10854.749122020754,64557.8419804748
mixed-urban-suwon,0.166008239986989,0.45,189.08446638219027,250.0880098719856,0.55,0.30117647058823527,11003.836231157493,11274.017973303298,66023.01738694496
