condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
independent,0.041878818436552764,0.2047125,162.75599538046038,271.9044367043225,0.7952875,0.8333333333333333,10765.207924425384,10765.207924425384,64591.24754655231
shared,0.04208672918886523,0.2049125,162.81687911173708,271.8894637409838,0.7950875,0.8333333333333333,10766.476466455162,10766.476466455162,64598.85879873098
shared-reserved,0.1374338706879498,0.5841,156.13195574542746,215.96667535090418,0.41590000000000005,0.44754075761152434,10756.568764716463,11015.12968167192,64539.41258829877
