condition,seed_count,samples_per_seed_min,reliability_status,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,coverage_mean,coverage_ci_low,coverage_ci_high
independent,80,1000,reliable,0.2047125,0.19189937499999998,0.2179378125,271.9044367043225,270.2410910523811,273.508041890548,0.041878818436552764,0.041188153507598996,0.04259377001625181
shared,80,1000,reliable,0.2049125,0.1921109375,0.21758874999999997,271.8894637409838,270.233855974625,273.4828524552253,0.04208672918886523,0.04138518238135476,0.04278590508428794
shared-reserved,80,1000,reliable,0.5841,0.5594875,0.6064,215.96667535090418,212.8353095814616,219.33355872287473,0.1374338706879498,0.1337116602953803,0.1411544092835343
